Product Name,Style Code,Stock Control,Code,Supplier Code,Supplier,Contact ID
KICKPLATE 870 X 810 X 1.2 SSS,KP870810SSS,FIFO,KP870810SSS,KP870810SSS,Glenside Engineering,1872
KICKPLATE 860 X 810 X 1.2 SSS,KP860810SSS,FIFO,KP860810SSS,KP860810SSS,Glenside Engineering,1872
KICKPLATE 820 X 830 X 1.2 SSS,KP820830SSS,FIFO,KP820830SSS,KP820830SSS,Glenside Engineering,1872
KICKPLATE 820 X 810 X 1.2 SSS,KP820810SSS,FIFO,KP820810SSS,KP820810SSS,Glenside Engineering,1872
KICKPLATE 810 X 830 X 1.2 SSS,KP810830SSS,FIFO,KP810830SSS,KP810830SSS,Glenside Engineering,1872
KICKPLATE 495 X 810 X 1.2 SSS,KP495810SSS,FIFO,KP495810SSS,KP495810SSS,Glenside Engineering,1872
KICKPLATE 970X250X1.2SSS,KP970250SSS,FIFO,KP970250SSS,KP970250SSS,Glenside Engineering,1872
KICKPLATE 470X250X1.2SSS,KP470250SSS,FIFO,KP470250SSS,KP470250SSS,Glenside Engineering,1872
KICKPLATE 880X250X1.2SSS,KP880250SSS,FIFO,KP880250SSS,KP880250SSS,Glenside Engineering,1872
KICKPLATE 865X250X1.2SSS,KP865250SSS,FIFO,KP865250SSS,KP865250SSS,Glenside Engineering,1872
KICKPLATE 490X500X1.2SSS,KP490500SSS,FIFO,KP490500SSS,KP490500SSS,Glenside Engineering,1872
KICKPLATE 460X500X1.2SSS,KP460500SSS,FIFO,KP460500SSS,KP460500SSS,Glenside Engineering,1872
KICKPLATE 895X500X1.2SSS,KP895500SSS,FIFO,KP895500SSS,KP895500SSS,Glenside Engineering,1872
LEGGE 990 ESCAPE DEADLOCK L/H,L9D12S,Batch,LPD12S,L9D12S,Allegion (New Zealand) Limited,6833
K1 CYLINDER KEY,K1KEY,FIFO,K1,K1,Lsc NZ Ltd,1898
WHITCO TASMAN CYL EURO LAZY CAM5PIN DBL CYL KD,LAW841200,Batch,LAW841200,LW841200,Assa Abloy New Zealand Limited,6840
LOCKWOOD LEICHHARDT STANDARD SLIDING SECURITY DOOR LOCK NO CYLINDER,LALW865317,Batch,LALW865317,LW865317,Assa Abloy New Zealand Limited,6840
LOCKWOOD WHITCO MK2 TASMAN LESS CYL,LALW892117,Batch,LALW892117,LW892117,Assa Abloy New Zealand Limited,6840
2.1Lm LENGTH BULLNOSE BRUSH SEAL (603002),3004SA,FIFO,BD3004SA,SEAL,BEST DOORS LTD,6013
LOCKWOOD 8530-1 LATCH 60MM SC,LA85301S,Batch,LA85301S,L8530-1SC,Assa Abloy New Zealand Limited,6840
HDL OVAL 570 CYLINDER KA4,HDL570CYLKA4SC,FIFO,HDL570CYLKA4SC,35mm/SC/keyalike,WUXI GMB International Corporation,4817
LEGGE 702 SERIES - ALPHA 29 LEVER ON EXTERNAL PLATE WITH CYLINDER - SATIN CHROME PLATE,LA702S,Batch,LPAL702S,LA702S,Allegion (New Zealand) Limited,6833
LEGGE 5300 SERIES - ALPHA LEVER ON EXTERNAL PLATE WITH CYLINDER - SATIN CHROME PLATE,L5300-29S,Batch,LP5300/29S,L5300/29S,Allegion (New Zealand) Limited,6833
LOCKWOOD 002 WITH KNOB TIMBER FRAME STRIKE TP,LAL002-1K1SP,Batch,LAL002-1K1SP,L002-1K1SP,Assa Abloy New Zealand Limited,6840
BRIO 286 NON LOCK HANDLE SET PBK,SFH286NPBK,Batch,SFH286NPBK,SFH286NPBK,Allegion (New Zealand) Limited,6833
WINDSOR GALAXY SERIES - PEGASUS LEVER SET - BLACK,7201-BLK,Batch,WIN7201BLK,7201-BLK,Windsor Brass,2019
WINDSOR HALO SERIES - POLARIS PASSAGE SET WITH 70MM BACKSET - BLACK,9227-BLK,Batch,WIN9227BLK,9227-BLK,Windsor Brass,2019
WINDSOR FUTURA SERIES- PRIVACY SET WITH 60MM BACKSET - BLACK,9034-BLK,Batch,WIN9034BLK,9034-BLK,Windsor Brass,2019
WINDSOR 1101 SERIES - 70MM TUBULAR LATCH (92MM CASE) - MATT BLACK,1101-BLK,Batch,WIN1101BLK,1101-BLK,Windsor Brass,2019
WINDSOR 1254 SERIES - 70MM PRIVACY BOLT - MATT BLACK,1254-BLK,Batch,WIN1254-BLK,1254-BLK,Windsor Brass,2019
MILES NELSON 276-10 CABIN HOOK 200MM SC,MN27610200S,Batch,MN27610200S,276SC10200,Miles Nelson Manufacturing Co Ltd,1915
CYLINDER REKEY CHARGE,REKEY,,REKEY,REKEY,Cin7 Stock Inventory - DO NOT DELETE,6811
PARKING,PARKING,,PARKING,,,#N/A
DORMA BTS84 COVER PLATE 8410 PBB,DO46700022,FIFO,DOBTS84COVERPB,46700024,Dormakaba New Zealand Ltd,1814
DORMA BTS84 COVER PLATE 8410 PBB,DO46700022,FIFO,DOBTS84COVERSIL,46700022,Dormakaba New Zealand Ltd,1814
DORMA TRACK HOLD OPEN SUIT TS91-92-93 96,DOHOGN,Batch,DOHOGN,18570000,Dormakaba New Zealand Ltd,1814
KABA 100X70X2.5MM FAST FIX HINGE,KBKH100,Batch,KBDKH10070FFAFSSS,9.40E+12,Dormakaba New Zealand Ltd,1814
MILES NELSON - DOOR STOP WITH RUBBER RIGHT (TRADE PACK) - STAINLESS STEEL,763SSRB,FIFO,MN763SSRB,763SSRB,Miles Nelson Manufacturing Co Ltd,1915
MILES NELSON - DOOR STOP WITH RUBBER LEFT (TRADE PACK) - STAINLESS STEEL ,763SSLB,FIFO,MN763SSLB,763SSLB,Miles Nelson Manufacturing Co Ltd,1915
LOCKWOOD WEDGELESS HANDLE SF HP LH,LAMC431B,Batch,LAMC431B,MC431B,Assa Abloy New Zealand Limited,6840
4801 SQUARE END PLATE WITH CYLINDER HOLE & 166 LEVER,LA4801/166SC,FIFO,LA4801/166SC,4801/166SC,Assa Abloy New Zealand Limited,6840
 INT SQUARE END PLATE WITH CYLINDER HOLE & LEVER 166,4901/166SC,FIFO,LA4901/166SC,4901/166SC,Assa Abloy New Zealand Limited,6840
LUCKY LINE 40401 SECURE-A-KEY,LL40401,FIFO,LL40401,LUL40401,ATHCO LOCKSMITHS SUPPLIES LTD,80
FREIGHT,FREIGHT,,FREIGHT,FREIGHT,Windsor Brass,2019
 HANDLE  SQUARE/116/160/BRUSHED NICKEL,SO-116-160-BN,FIFO,SO-116-160-BN,SO-116-160-BN,Stefano Orlati Ltd,1927
SCHLAGE REGENT SERIES - R10 LEON PASSAGE LATCH (BOXPACK) - SATIN CHROME PLATE,RLPASSSBX,Batch,SCR10LEOSBX,RLPASSSBX,Allegion (New Zealand) Limited,6833
